('T320580', 'HOXA11-AS.2')
('T306182', 'LGAT39')
('T109117', 'LGAT107')
('T055028', 'LINC00958.4')
('T266268', 'THCAT514')
('T104624', 'CAT1665.3')
('T233675', 'ESAT27')
('T144453', 'CAT1917.2')
('T014418', 'HNCAT272.1')
('T036012', 'LINC00702.2')
('T196460', 'CAT287')
('T284573', 'CAT678')
('T042211', 'CAT1262.1')
('T354959', 'THCAT387')
('T164184', 'HICLINC359')
('T033142', 'THCAT245.1')
('T114737', 'HICLINC320')
('T076036', 'OVAT179')
('T099945', 'KCCAT513.1')
('T310970', 'NCOA7-AS1.3')
('T317004', 'KCCAT453')
('T048990', 'BRCAT358')
('T121989', 'KPCAT81')
('T229304', 'AMAT95')
('T024055', 'CAT130.2')
('T143531', 'THCAT330')
('T231704', 'CAT2235.1')
('T000809', 'CAT5')
('T275812', 'CAT623.2')
('T281791', 'CAT656.3')
('T133395', 'THCAT251')
('T117478', 'CAT1757')
('T304646', 'BRCAT408')
('T251543', 'KCCAT535')
('T048268', 'BLCAT8')
('T203103', 'CAT330')
('T187219', 'CAT224.1')
('T121835', 'CAT1783.4')
('T367406', 'CAT1204.4')
('T133178', 'KHCAT62')
('T025532', 'CAT138')
('T356437', 'MIR31HG.2')
('T159666', 'CAT2005.1')
('T192410', 'LGAT44')
('T092655', 'THCAT250.1')
('T086282', 'HICLINC285')
('T356625', 'CAT1137')
('T032371', 'KCCAT536')
('T231252', 'BRCAT216')
('T366554', 'KHCAT109.1')
('T074169', 'HNCAT291')
('T139412', 'PITPNA-AS1')
('T254247', 'THCAT27.3')
('T319175', 'CAT907.4')
('T030992', 'CAT171.2')
('T241201', 'THCAT334.3')
('T039436', 'KCCAT451')
('T349869', 'PNAT110')
('T370745', 'CAT2269')
('T130777', 'CAT1846')
('T010615', 'CRAT12.2')
('T371806', 'CAT2275.1')
('T153594', 'THCAT227')
('T139333', 'PRCAT56.1')
('T338101', 'BRCAT25')
('T174318', 'LINC00665.5')
('T290539', 'CAT724')
('T050676', 'CAT1319.1')
('T258262', 'LINC00885.2')
('T076550', 'BRCAT254')
('T171028', 'THCAT611')
('T093420', 'KHCAT335')
('T213372', 'KCCAT17.4')
('T056764', 'OVAT157')
('T270593', 'KHCAT380.4')
('T069760', 'PRCAT27')
('T289517', 'CAT721')
('T146532', 'UTAT49')
('T091073', 'AMAT155')
('T164836', 'CAT2035.1')
('T295984', 'KCCAT437')
('T196789', 'CAT295.1')
('T030141', 'KCCAT534')
('T229052', 'DGCR5.7')
('T188826', 'KHCAT91')
('T378917', 'CAT2305')
('T328842', 'KCCAT440')
('T158356', 'KCCAT29')
('T045259', 'KCCAT351.1')
('T012416', 'CAT62.3')
('T198177', 'NIFK-AS1')
('T009120', 'KCCAT32')
('T321806', 'CAT929')
('T266617', 'CAT558.1')
('T345416', 'OVAT34')
('T104356', 'BRCAT187')
('T196115', 'MEAT8.4')
('T269103', 'PRCAT60.2')
('T319844', 'BRCAT218')
('T196824', 'THCAT571')
('T287319', 'STARD4-AS1')
('T062903', 'HNCAT73')
('T161783', 'CAT2015')
('T118765', 'CAT1768.1')
('T263840', 'CAT538')
('T353655', 'HNCAT56')
('T054266', 'CAT1334.1')
('T309490', 'PRCAT259')
('T342079', 'CAT1023.2')
('T122857', 'HICLINC326')
('T342913', 'BRCAT200')
('T066414', 'CAT1417')
('T092656', 'THCAT250.2')
('T125338', 'CRAT1.1')
('T118681', 'HNCAT175')
('T338901', 'LSCAT125')
('T092694', 'KHCAT330')
('T320704', 'JAZF1-AS1.2')
('T130236', 'CAT1845.1')
('T335777', 'CAT995')
('T129477', 'CAT1834.2')
('T227256', 'CAT2216.4')
('T019309', 'LACAT30')
('T222477', 'BRCAT36')
('T057248', 'THCAT206')
('T013839', 'LACAT169')
('T222467', 'BRCAT29.2')
('T004820', 'LACAT2.1')
('T191279', 'PCBP1-AS1.1')
('T309705', 'THCAT123')
('T045846', 'ACTA2-AS1')
('T076851', 'CAT1495.1')
('T166888', 'HNCAT290')
('T114741', 'CAT1728')
('T036823', 'BRCAT419')
('T193286', 'THCAT163')
('T347740', 'CAT1064.1')
('T116808', 'MEAT151')
('T307839', 'KCCAT582.1')
('T098167', 'CLYBL-AS1.1')
('T290497', 'LSCAT278.2')
('T029665', 'CAT159.2')
('T285218', 'CAT684')
('T028376', 'PRCAT68')
('T073551', 'MEAT11')
('T169064', 'LACAT74')
('T068809', 'LSCAT15.2')
('T282018', 'PNAT42')
('T043563', 'UNC5B-AS1.1')
('T116660', 'CAT1744.5')
('T068019', 'CAT1427')
('T195941', 'CAT285.5')
('T047575', 'BRCAT109')
('T159916', 'AMAT157')
('T359953', 'CAT1147.3')
('T158125', 'CAT1997')
('T086284', 'HICLINC286')
('T290661', 'CAT729')
('T269318', 'RPL34-AS1')
('T102504', 'CAT1649')
('T321490', 'CAT922')
('T072208', 'CAT1460.2')
('T218272', 'OSER1-AS1.2')
('T034491', 'CAT194.2')
('T190843', 'CAT255.1')
('T293576', 'BRCAT230.1')
('T281844', 'CAT658')
('T268906', 'LSCAT38.1')
('T266962', 'CAT566.2')
('T114392', 'HICLINC319.1')
('T098145', 'CAT1628')
('T221134', 'OVAT151')
('T276732', 'CAT630.2')
('T299596', 'KCCAT487')
('T136599', 'CAT1875.1')
('T254728', 'MEAT100')
('T169754', 'OVAT50')
('T339059', 'CAT1006.2')
('T072305', 'KCCAT233')
('T298538', 'CAT777')
('T101522', 'KHCAT158')
('T383413', 'TTTY15.2')
('T348773', 'CAT1076.1')
('T232197', 'TUG1.1')
('T342972', 'LSCAT40.2')
('T292950', 'CAT741')
('T080142', 'CAT1529')
('T275058', 'PNAT40')
('T213389', 'KCCAT21.3')
('T127005', 'KCCAT560')
('T175284', 'LGAT38')
('T167059', 'CAT2052')
('T153691', 'AMAT116')
('T068507', 'THCAT545')
('T316249', 'THCAT242')
('T102861', 'CAT1651')
('T225159', 'PAXBP1-AS1')
('T085945', 'LACAT199')
('T079569', 'HOXC-AS3.3')
('T018596', 'CAT99.2')
('T046918', 'BRCAT373')
('T189916', 'CAT243')
('T301550', 'CAT788')
('T228945', 'KCCAT603')
('T275645', 'CAT619.4')
('T198749', 'CAT309')
('T108078', 'THCAT338')
('T168197', 'LSCAT283')
('T098093', 'UBAC2-AS1')
('T344048', 'CAT1041.2')
('T174217', 'LSCAT237')
('T220188', 'LSCAT27')
('T054886', 'THCAT491')
('T281892', 'CAT659')
('T361230', 'HICLINC231')
('T253003', 'THCAT552')
('T252227', 'PRCAT169')
('T244350', 'BRCAT96.2')
('T365359', 'CAT1186.2')
('T380707', 'HRAT6')
('T284251', 'LSCAT89')
('T219718', 'CAT2179.3')
('T154791', 'CAT1982')
('T186847', 'KCCAT574')
('T128190', 'CAT1825')
('T181493', 'AMAT90')
('T182231', 'CAT2135')
('T275436', 'CAT618.4')
('T153884', 'CAT1976')
('T359193', 'CAT1144.1')
('T189056', 'KHCAT16')
('T298876', 'CAT779')
('T285992', 'BRCAT407')
('T334719', 'CAT987')
('T086054', 'CAT1569.1')
('T296035', 'KCCAT497')
('T070890', 'BRCAT427')
('T063472', 'CAT1389.2')
('T282972', 'PART1.4')
('T137759', 'KCCAT130')
('T166200', 'CAT2044')
('T072905', 'THCAT307')
('T295543', 'LGAT28')
('T136864', 'THCAT220')
('T264727', 'KPCAT75')
('T275647', 'CAT619.2')
('T229471', 'LINC00896')
('T097797', 'DNAJC3-AS1.1')
('T054833', 'LACAT245')
('T231718', 'CAT2235.2')
('T200703', 'LACAT50.1')
('T183196', 'PRCAT62')
('T353085', 'LSCAT186')
('T306332', 'CAT821.1')
('T029851', 'LACAT67')
('T119007', 'LACAT149')
('T273666', 'KHCAT18')
('T315199', 'LGAT53.1')
('T291191', 'MIR143HG.1')
('T337275', 'KCCAT340')
('T214853', 'THCAT569')
('T186000', 'LSCAT110')
('T264052', 'CAT540')
