('hsa-miR-455-5p', 'MIMAT0003150')
('hsa-miR-487a-3p', 'MIMAT0002178')
('hsa-miR-545-5p', 'MIMAT0004785')
('hsa-miR-502-5p', 'MIMAT0002873')
('hsa-miR-323a-3p', 'MIMAT0000755')
('hsa-miR-324-5p', 'MIMAT0000761')
('hsa-miR-493-5p', 'MIMAT0002813')
('hsa-miR-101-5p', 'MIMAT0004513')
('hsa-miR-1305', 'MIMAT0005893')
('hsa-miR-154-5p', 'MIMAT0000452')
('hsa-miR-15b-5p', 'MIMAT0000417')
('hsa-let-7f-2-3p', 'MIMAT0004487')
('hsa-miR-196b-5p', 'MIMAT0001080')
('hsa-miR-147b', 'MIMAT0004928')
('hsa-miR-581', 'MIMAT0003246')
('hsa-miR-155-5p', 'MIMAT0000646')
('hsa-miR-1301-3p', 'MIMAT0005797')
('hsa-miR-514a-3p', 'MIMAT0002883')
('hsa-miR-490-3p', 'MIMAT0002806')
('hsa-miR-30e-5p', 'MIMAT0000692')
('hsa-miR-301b-3p', 'MIMAT0004958')
('hsa-miR-193b-3p', 'MIMAT0002819')
('hsa-miR-29c-5p', 'MIMAT0004673')
('hsa-miR-887-5p', 'MIMAT0026720')
('hsa-miR-409-5p', 'MIMAT0001638')
('hsa-miR-200c-3p', 'MIMAT0000617')
('hsa-miR-873-5p', 'MIMAT0004953')
('hsa-miR-31-5p', 'MIMAT0000089')
('hsa-miR-153-5p', 'MIMAT0026480')
('hsa-miR-506-3p', 'MIMAT0002878')
('hsa-miR-3177-3p', 'MIMAT0015054')
('hsa-miR-500b-5p', 'MIMAT0016925')
('hsa-miR-503-3p', 'MIMAT0022925')
('hsa-miR-658', 'MIMAT0003336')
('hsa-miR-27b-5p', 'MIMAT0004588')
('hsa-miR-664a-5p', 'MIMAT0005948')
('hsa-miR-3619-3p', 'MIMAT0019219')
('hsa-miR-219a-5p', 'MIMAT0000276')
('hsa-miR-769-5p', 'MIMAT0003886')
('hsa-miR-92b-5p', 'MIMAT0004792')
('hsa-miR-193a-3p', 'MIMAT0000459')
('hsa-miR-15a-3p', 'MIMAT0004488')
('hsa-miR-378a-5p', 'MIMAT0000731')
('hsa-miR-519a-5p', 'MIMAT0005452')
('hsa-miR-190a-5p', 'MIMAT0000458')
('hsa-miR-339-5p', 'MIMAT0000764')
('hsa-miR-582-5p', 'MIMAT0003247')
('hsa-miR-3065-5p', 'MIMAT0015066')
('hsa-miR-193b-5p', 'MIMAT0004767')
('hsa-miR-551b-3p', 'MIMAT0003233')
('hsa-miR-1291', 'MIMAT0005881')
('hsa-miR-584-3p', 'MIMAT0022708')
('hsa-miR-7-1-3p', 'MIMAT0004553')
('hsa-miR-148a-3p', 'MIMAT0000243')
('hsa-miR-132-5p', 'MIMAT0004594')
('hsa-miR-370-5p', 'MIMAT0026483')
