('6342', 'SCP2', '6342', 'SCP2')
('375748', 'C9orf102', '375748', 'ERCC6L2')
('394263', 'MUC21', '394263', 'MUC21')
('8608', 'RDH16', '8608', 'RDH16')
('2306', 'FOXD2', '2306', 'FOXD2')
('401944', 'LDLRAD2', '401944', 'LDLRAD2')
('23436', 'CELA3B', '23436', 'CELA3B')
('8940', 'TOP3B', '8940', 'TOP3B')
('677779', 'C3orf66', '677779', 'LINC00488')
('80705', 'TSGA10', '80705', 'TSGA10')
('93100', 'NAPRT1', '93100', 'NAPRT')
('646424', 'SPINK8', '646424', 'SPINK8')
('84268', 'RPAIN', '84268', 'RPAIN')
('1497', 'CTNS', '1497', 'CTNS')
('7287', 'TULP1', '7287', 'TULP1')
('340706', 'VWA2', '340706', 'VWA2')
('7760', 'ZNF213', '7760', 'ZNF213')
('116842', 'LEAP2', '116842', 'LEAP2')
('29094', 'HSPC159', '29094', 'LGALSL')
('57731', 'SPTBN4', '57731', 'SPTBN4')
('88455', 'ANKRD13A', '88455', 'ANKRD13A')
('2976', 'GTF3C2', '2976', 'GTF3C2')
('26102', 'LOC26102', '26102', 'DKFZP434A062')
('29766', 'TMOD3', '29766', 'TMOD3')
('65110', 'UPF3A', '65110', 'UPF3A')
('283987', 'C17orf28', '283987', 'HID1')
('51125', 'GOLGA7', '51125', 'GOLGA7')
('9903', 'KLHL21', '9903', 'KLHL21')
('55693', 'KDM4D', '55693', 'KDM4D')
('768239', 'PSAPL1', '768239', 'PSAPL1')
('127495', 'LRRC39', '127495', 'LRRC39')
('400866', 'NCRNA00114', '400866', 'LINC00114')
('23590', 'PDSS1', '23590', 'PDSS1')
('790', 'CAD', '790', 'CAD')
('55295', 'KLHL26', '55295', 'KLHL26')
('8995', 'TNFSF18', '8995', 'TNFSF18')
('4134', 'MAP4', '4134', 'MAP4')
('6618', 'SNAPC2', '6618', 'SNAPC2')
('199777', 'ZNF626', '199777', 'ZNF626')
('4225', 'MEP1B', '4225', 'MEP1B')
('93432', 'LOC93432', '93432', 'MGAM2')
('10344', 'CCL26', '10344', 'CCL26')
('8100', 'IFT88', '8100', 'IFT88')
('122961', 'ISCA2', '122961', 'ISCA2')
('64949', 'MRPS26', '64949', 'MRPS26')
('389517', 'SPDYE8P', '728524', 'SPDYE8P')
('79856', 'SNX22', '79856', 'SNX22')
('27286', 'SRPX2', '27286', 'SRPX2')
('3428', 'IFI16', '3428', 'IFI16')
('6531', 'SLC6A3', '6531', 'SLC6A3')
('5544', 'PRB3', '5544', 'PRB3')
('84225', 'ZMYND15', '84225', 'ZMYND15')
('1278', 'COL1A2', '1278', 'COL1A2')
('4830', 'NME1', '4830', 'NME1')
('113802', 'C1orf59', '113802', 'HENMT1')
('54531', 'MIER2', '54531', 'MIER2')
('10225', 'CD96', '10225', 'CD96')
('79713', 'TMEM149', '79713', 'IGFLR1')
